Overall Rank,School,State,Undergrad. Enrollment,Admission Rate,*SAT or ACT,Student/faculty Ratio,4-year Grad. Rate,6-year Grad. Rate,Quality Rank,Total Costs,Cost After Need-based Aid,Need Met,Aid From Grants,Cost After Non-Need-Based Aid,Non-Need-Based Aid+,Average Debt,Cost Rank
1,California Institute of Technology,CA,939,21%,99/100%,3,71%,85%,10,"$32,682 ","$10,981 ",100%,93%,"$18,553 ",15%,"$10,244 ",4
2,Rice University,TX,2787,24%,89/92%,5,68%,89%,19,"$28,350 ","$14,779 ",100%,88%,"$22,418 ",34%,"$12,705 ",5
3,Williams College,MA,1985,23%,93/93%,8,89%,94%,1,"$36,550 ","$14,737 ",100%,89%,"$33,251 ",NA,"$12,316 ",26
4,Swarthmore College,PA,1479,24%,94/98%,8,86%,92%,4,"$38,676 ","$17,386 ",100%,85%,"$11,404 ",2%,"$12,759 ",21
5,Amherst College,MA,1618,18%,94/92%,9,84%,94%,5,"$38,492 ","$14,453 ",100%,92%,"$33,411 ",NA,"$11,544 ",38
6,Webb Institute,NY,67,42%,100/100%,7,79%,83%,39,"$8,079 ","$5,579 ",20%,100%,"$8,079 ",100%,"$5,700 ",1
7,Yale University,CT,5339,8%,96/97%,7,88%,95%,3,"$38,432 ","$15,729 ",100%,89%,"$38,432 ",NA,"$19,228 ",53
8,Washington and Lee University,VA,1750,31%,89/89%,11,86%,89%,30,"$30,225 ","$15,452 ",99%,87%,"$22,063 ",31%,"$15,634 ",9
9,Harvard University,MA,6637,11%,90*/90*%,8,86%,97%,8,"$38,831 ","$17,456 ",100%,90%,"$33,201 ",NA,"$10,465 ",46
10,Stanford University,CA,7360,13%,93/95%,7,77%,93%,6,"$38,875 ","$17,746 ",100%,86%,"$33,709 ",NA,"$15,782 ",62
11,Princeton University,NJ,4779,11%,95/97%,5,91%,97%,7,"$40,169 ","$18,325 ",100%,94%,"$40,169 ",NA,"$12,000 ",59
12,Massachusetts Institute of Technology,MA,4178,16%,95/100%,6,82%,91%,2,"$39,213 ","$19,609 ",100%,85%,"$30,337 ",NA,"$22,855 ",82
13,Pomona College,CA,1551,23%,98/97%,9,83%,88%,21,"$38,130 ","$17,411 ",100%,80%,"$35,702 ",NA,"$15,600 ",43
14,Emory University,GA,6302,42%,89/94%,7,82%,87%,15,"$37,272 ","$19,657 ",100%,73%,"$23,615 ",19%,"$17,675 ",54
15,Columbia University,NY,4109,12%,91/93%,7,83%,93%,13,"$39,493 ","$17,778 ",100%,86%,"$39,493 ",NA,"$15,331 ",65
16,Duke University,NC,6206,25%,91/94%,11,88%,93%,11,"$40,080 ","$19,996 ",100%,80%,"$26,599 ",6%,"$20,025 ",68
17,Davidson College,NC,1645,34%,86/89%,10,89%,91%,27,"$34,706 ","$21,455 ",100%,82%,"$28,630 ",35%,"$13,697 ",37
18,Wellesley College,MA,2300,47%,88/89%,9,84%,88%,32,"$37,419 ","$17,526 ",100%,88%,"$32,919 ",NA,"$15,697 ",35
19,Vassar College,NY,2472,31%,93/89%,9,81%,87%,22,"$37,870 ","$19,404 ",100%,78%,"$34,669 ",NA,"$17,170 ",64
20,Haverford College,PA,1105,32%,89/90%,8,89%,92%,20,"$38,928 ","$17,826 ",100%,90%,"$38,928 ",NA,"$15,253 ",66
21,Northwestern University,IL,7946,33%,88/92%,7,83%,92%,17,"$38,817 ","$20,376 ",100%,79%,"$36,538 ",12%,"$14,551 ",74
22,Bowdoin College,ME,1657,25%,87/92%,10,83%,90%,25,"$38,663 ","$17,773 ",100%,85%,"$37,663 ",4%,"$15,307 ",58
23,University of Pennsylvania,PA,9742,21%,91/96%,6,83%,91%,9,"$39,040 ","$20,596 ",100%,77%,"$39,040 ",NA,"$20,247 ",93
24,Johns Hopkins University,MD,4112,35%,85/93%,8,81%,88%,29,"$39,188 ","$19,142 ",95%,80%,"$24,206 ",9%,"$13,600 ",48
25,Cooper Union,NY,917,14%,81/83%,7,57%,78%,61,"$14,652 ","$11,167 ",92%,62%,"$14,653 ",100%,"$9,250 ",3
26,Washington University,MO,7219,24%,93/98%,7,75%,86%,16,"$39,253 ","$20,700 ",100%,81%,"$30,581 ",19%,$0 ,87
27,Dartmouth College,NH,4118,23%,92/96%,9,87%,95%,12,"$38,898 ","$19,546 ",100%,76%,"$36,482 ",NA,$0 ,92
28,Claremont McKenna College,CA,1024,28%,89/95%,7,82%,86%,37,"$37,730 ","$17,988 ",100%,86%,"$31,570 ",24%,"$16,914 ",41
29,University of Notre Dame,IN,8261,34%,83/91%,12,88%,95%,36,"$35,392 ","$18,011 ",100%,74%,"$26,304 ",5%,"$25,595 ",45
30,Colgate University,NY,2827,34%,80/86%,10,85%,89%,31,"$38,820 ","$18,856 ",100%,85%,"$38,820 ",NA,"$12,984 ",67
31,The Colorado College,CO,1902,53%,66/70%,9,72%,79%,57,"$35,275 ","$16,516 ",95%,88%,"$19,645 ",23%,"$13,500 ",10
32,University of Richmond,VA,2998,41%,74/83%,10,79%,84%,48,"$31,679 ","$17,588 ",96%,80%,"$21,227 ",40%,"$16,115 ",12
33,Georgetown University,DC,6332,21%,87/89%,11,86%,91%,14,"$39,182 ","$24,382 ",100%,68%,"$32,832 ",NA,"$20,000 ",97
34,Brown University,RI,6030,17%,86/90%,8,79%,94%,23,"$40,248 ","$20,838 ",100%,83%,"$37,243 ",NA,"$21,700 ",91
35,Carleton College,MN,1932,35%,88/89%,9,82%,86%,34,"$35,288 ","$21,677 ",100%,72%,"$32,968 ",17%,"$14,543 ",56
36,Lafayette College,PA,2300,36%,63/78%,11,79%,84%,47,"$35,713 ","$15,147 ",94%,100%,"$25,050 ",17%,"$17,380 ",19
37,Middlebury College,VT,2297,27%,93/96%,11,81%,87%,18,"$39,532 ","$18,288 ",100%,79%,"$39,532 ",NA,"$21,751 ",98
38,Grinnell College,IA,1485,65%,87/85%,10,78%,84%,55,"$31,460 ","$16,585 ",100%,76%,"$23,312 ",65%,"$13,854 ",17
39,Illinois Wesleyan University,IL,2107,48%,96%,12,76%,81%,44,"$30,780 ","$18,858 ",95%,72%,"$23,095 ",76%,"$17,722 ",27
40,Bates College,ME,1738,28%,90/91%,10,82%,87%,28,"$38,932 ","$18,258 ",100%,85%,"$38,932 ",NA,"$17,045 ",88
41,Cornell University,NY,13725,29%,85/92%,9,82%,90%,26,"$38,974 ","$23,122 ",100%,69%,"$38,974 ",NA,"$15,587 ",95
42,Wesleyan University,CT,2733,28%,89/92%,9,76%,81%,24,"$39,127 ","$21,401 ",100%,72%,"$39,127 ",NA,"$23,753 ",99
43,Colby College,ME,1830,33%,84/89%,11,85%,88%,33,"$38,699 ","$18,168 ",100%,93%,"$38,699 ",NA,"$17,270 ",84
44,Bucknell University,PA,3440,39%,72/84%,12,83%,87%,43,"$36,165 ","$19,165 ",100%,94%,"$36,165 ",NA,"$16,000 ",44
45,Kenyon College,OH,1576,52%,87/81%,9,80%,84%,51,"$36,273 ","$17,905 ",98%,85%,"$25,183 ",39%,"$20,850 ",32
46,Centre College,KY,1055,78%,89%,11,71%,73%,68,"$28,529 ","$15,842 ",100%,65%,"$19,002 ",23%,"$14,300 ",11
47,Rhodes College,TN,1541,70%,95%,11,71%,73%,64,"$30,080 ","$18,899 ",84%,70%,"$21,296 ",50%,"$15,100 ",15
48,Macalester College,MN,1840,44%,87/88%,10,71%,77%,58,"$32,847 ","$16,394 ",100%,80%,"$27,419 ",26%,$0 ,29
49,Barnard College,NY,2297,34%,88/88%,10,72%,84%,46,"$37,940 ","$17,826 ",100%,82%,"$33,701 ",8%,"$14,030 ",42
50,Brandeis University,MA,3057,42%,88/88%,8,79%,85%,38,"$39,101 ","$22,257 ",84%,80%,"$24,255 ",42%,$0 ,81
51,College of the Holy Cross,MA,2801,43%,71/76%,11,88%,90%,41,"$36,851 ","$23,846 ",100%,71%,"$28,381 ",15%,"$16,063 ",69
52,Harvey Mudd College,CA,699,37%,97/100%,9,75%,83%,35,"$38,880 ","$22,041 ",100%,79%,"$32,890 ",58%,"$20,219 ",90
53,Wake Forest University,NC,4045,41%,79/86%,10,77%,87%,42,"$36,079 ","$21,196 ",90%,77%,"$27,438 ",45%,"$24,769 ",61
54,Bryn Mawr College,PA,1321,50%,86/75%,9,76%,80%,45,"$37,890 ","$18,609 ",96%,86%,"$36,160 ",NA,$0 ,57
54,Wheaton College,IL,2395,54%,84/83%,11,70%,84%,66,"$27,076 ","$17,341 ",97%,74%,"$22,678 ",11%,"$15,864 ",24
55,Tufts University,MA,4910,27%,81/90%,9,81%,88%,40,"$39,173 ","$20,115 ",100%,85%,"$37,477 ",4%,"$15,499 ",79
56,Oberlin College,OH,2848,33%,87/80%,10,63%,76%,50,"$37,688 ","$21,081 ",100%,72%,"$26,683 ",26%,"$13,926 ",50
57,Mount Holyoke College,MA,2191,52%,80/70%,10,75%,79%,49,"$38,668 ","$19,268 ",100%,76%,"$28,368 ",10%,"$14,200 ",51
58,Furman University,SC,2772,58%,65/70%,11,74%,81%,69,"$29,430 ","$16,296 ",90%,72%,"$20,230 ",55%,"$17,741 ",14
59,St. Olaf College,MN,3041,73%,84%,13,71%,75%,67,"$29,879 ","$17,458 ",100%,74%,"$25,254 ",48%,"$18,806 ",25
60,Brigham Young University,UT,29379,73%,86%,18,31%,73%,95,"$9,663 ","$7,621 ",40%,53%,"$6,523 ",38%,"$11,000 ",2
61,Lehigh University,PA,4706,44%,59/85%,11,70%,84%,65,"$35,670 ","$19,123 ",99%,75%,"$23,231 ",14%,"$16,972 ",30
62,Smith College,MA,2647,53%,72/66%,9,76%,80%,56,"$37,937 ","$18,466 ",100%,76%,"$28,306 ",11%,"$19,911 ",52
63,Beloit College,WI,1281,70%,82%,11,60%,72%,70,"$30,264 ","$17,452 ",100%,72%,"$23,690 ",19%,"$14,942 ",24
64,Taylor University,IN,1869,78%,74%,15,71%,75%,90,"$24,723 ","$15,678 ",81%,73%,"$20,538 ",60%,"$15,117 ",7
65,Union College,NY,2147,45%,56/71%,11,75%,80%,72,"$36,455 ","$18,431 ",97%,79%,"$16,455 ",1%,"$15,725 ",22
66,Hamilton College,NY,1851,35%,77/82%,10,79%,84%,54,"$38,463 ","$19,474 ",99%,85%,"$29,638 ",8%,"$16,856 ",55
67,DePauw University,IN,2338,61%,55/60%,11,75%,79%,88,"$32,150 ","$15,531 ",99%,82%,"$21,813 ",81%,"$14,481 ",8
68,Hillsdale College,MI,1220,82%,74%,11,53%,71%,99,"$23,353 ","$13,853 ",77%,68%,"$16,853 ",45%,"$14,500 ",6
69,Knox College,IL,1121,72%,72%,12,67%,74%,80,"$30,894 ","$15,494 ",99%,76%,"$21,205 ",67%,"$16,920 ",13
70,University of Southern California,CA,16145,30%,79/91%,10,51%,73%,59,"$37,968 ","$21,606 ",99%,68%,"$25,660 ",25%,"$20,619 ",70
71,Trinity College,CT,2098,36%,73/79%,9,77%,83%,53,"$38,890 ","$19,667 ",100%,85%,"$33,390 ",1%,"$17,000 ",78
72,Trinity University,TX,2406,69%,71/80%,11,65%,75%,86,"$27,086 ","$16,706 ",86%,71%,"$21,193 ",54%,$0 ,20
73,Gustavus Adolphus College,MN,2536,77%,70%,13,72%,75%,89,"$27,820 ","$17,609 ",92%,70%,"$21,977 ",82%,"$17,400 ",18
74,Vanderbilt University,TN,6146,46%,83/90%,9,78%,84%,52,"$38,847 ","$20,971 ",99%,64%,"$23,049 ",27%,"$24,023 ",86
75,Whitman College,WA,1454,50%,80/81%,10,60%,71%,74,"$33,776 ","$21,176 ",94%,70%,"$25,776 ",72%,"$15,000 ",36
76,Scripps College,CA,798,58%,85/78%,12,63%,68%,91,"$36,500 ","$17,984 ",100%,78%,"$21,355 ",13%,"$12,941 ",23
77,Franklin and Marshall College,PA,1926,62%,62/71%,11,78%,83%,73,"$36,580 ","$20,925 ",98%,80%,"$24,751 ",33%,"$19,656 ",40
78,Saint Louis University,MO,7178,72%,72%,12,52%,67%,100,"$29,983 ","$16,902 ",71%,63%,"$21,714 ",36%,"$14,989 ",16
79,Carnegie Mellon University,PA,5475,38%,75/95%,11,61%,77%,63,"$38,460 ","$24,689 ",83%,70%,"$25,952 ",22%,"$19,195 ",76
80,Lawrence University,WI,1389,68%,83%,11,58%,68%,83,"$32,875 ","$17,882 ",100%,74%,"$25,093 ",65%,"$18,311 ",34
81,Connecticut College,CT,1890,35%,83/84%,11,75%,81%,62,"$37,057 ","$16,930 ",100%,86%,"$37,057 ",NA,"$17,250 ",85
82,Case Western Reserve University,OH,3457,78%,74/85%,8,49%,75%,87,"$32,802 ","$18,323 ",96%,66%,"$20,907 ",66%,"$21,830 ",31
84,Dickinson College,PA,2261,51%,65/64%,13,74%,78%,79,"$36,600 ","$19,753 ",98%,76%,"$24,515 ",30%,"$17,586 ",39
85,Kalamazoo College,MI,1265,73%,91%,12,60%,69%,92,"$30,917 ","$17,947 ",NA%,68%,"$21,467 ",92%,"$20,000 ",33
86,Saint John's University,MN,1897,87%,66%,13,67%,74%,97,"$27,272 ","$19,544 ",88%,46%,"$21,687 ",68%,"$20,680 ",28
87,Boston College,MA,9000,34%,78/85%,13,0%,86%,71,"$37,745 ","$24,470 ",100%,70%,"$32,160 ",7%,"$16,732 ",73
88,Reed College,OR,1363,55%,95/86%,10,45%,67%,85,"$37,900 ","$18,804 ",100%,90%,"$37,900 ",NA,"$16,758 ",47
89,Bard College,NY,1454,36%,85/67%,9,59%,71%,82,"$38,282 ","$20,558 ",87%,83%,"$23,338 ",11%,"$15,400 ",49
90,University of Rochester,NY,4695,50%,79/87%,12,65%,76%,76,"$37,246 ","$20,297 ",100%,78%,"$27,245 ",53%,$0 ,60
91,New York University,NY,19490,28%,87/86%,11,65%,74%,60,"$40,105 ","$28,282 ",70%,67%,"$33,355 ",26%,"$21,495 ",100
92,Villanova University,PA,7375,47%,57/74%,13,79%,84%,75,"$36,560 ","$26,463 ",76%,57%,"$29,161 ",20%,"$28,217 ",72
93,Skidmore College,NY,2506,46%,70/69%,11,71%,75%,78,"$38,838 ","$21,023 ",98%,77%,"$29,438 ",1%,"$15,560 ",71
94,Rose-Hulman Institute of Technology,IN,1642,65%,62/91%,13,58%,71%,93,"$32,625 ","$28,677 ",60%,27%,"$28,720 ",65%,"$27,000 ",63
95,St. John's College,MD,465,71%,95/75%,8,63%,71%,81,"$36,635 ","$21,940 ",91%,72%,"$34,477 ",4%,"$20,753 ",75
96,Babson College,MA,1735,48%,50/77%,13,77%,81%,77,"$38,443 ","$21,316 ",98%,78%,"$30,308 ",11%,$0 ,83
97,Rhode Island School of Design,RI,1882,32%,49/55%,11,0%,87%,96,"$34,472 ","$26,447 ",69%,53%,"$33,222 ",4%,"$21,125 ",80
98,Rensselaer Polytechnic Institute,NY,5139,70%,68/92%,17,48%,75%,84,"$39,200 ","$22,360 ",90%,74%,"$28,411 ",45%,"$24,590 ",94
99,Sarah Lawrence College,NY,1226,40%,79/44%,6,51%,66%,94,"$42,121 ","$22,847 ",94%,73%,"$33,610 ",NA,"$14,864 ",89
100,The George Washington University,DC,10328,40%,68/72%,14,62%,73%,98,"$40,240 ","$25,866 ",94%,56%,"$29,916 ",25%,$0 ,96
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
